thermador,GOD26342,55284206536,2011-06-13 19:20:00,dryer
insinkerator,AHS36933,14029544511,2013-01-02 20:52:03,hot water dispenser
ge,CBS67305,13176885646,2010-10-31 09:09:29,oven
maytag,EXH83169,46260204212,2010-09-21 14:54:06,range
kenmore,ZYU88205,17143362045,2015-02-04 00:49:51,washer
bosch,UIP10278,58040634028,2012-08-16 21:14:59,faucet
bosch,NFM22104,69313927936,2012-09-01 02:29:06,dryer
kenmore,RKH72755,21631914420,2011-12-10 02:36:39,hood
thermador,ZAV87660,92621467103,2015-05-15 06:38:22,hood
maytag,VTE66510,30325480577,2011-07-02 10:41:06,washer
bosch,ZLI27392,22382121662,2013-06-02 15:28:12,washer
maytag,GAI42358,92610565703,2015-06-04 08:31:34,microwave
thermador,SLB64875,56650943782,2015-08-13 06:54:25,hood
maytag,AHC29858,46255942851,2014-08-10 10:06:06,washer
thermador,SZM71311,23825241075,2014-11-17 13:08:56,oven
bosch,PIZ33478,94269203677,2014-02-25 06:22:15,faucet
thermador,SOI64261,47989521323,2011-12-15 01:39:28,oven
insinkerator,XUB27130,02566355348,2011-08-29 01:53:26,washer
maytag,YRW70855,28437852500,2011-02-25 20:14:00,cooktop
kitchenaid,VQH93282,51220780680,2014-05-16 04:14:13,dryer
kenmore,IEY67622,02768299356,2011-10-04 12:51:50,dryer
kenmore,EKN19210,14029118754,2013-07-11 21:15:42,hot water dispenser
insinkerator,IZB87205,52351284737,2013-05-30 05:46:11,dishwasher
bosch,PWJ38652,96022313583,2012-12-16 07:57:11,hot water dispenser
thermador,SUR66791,19164698394,2012-10-27 04:47:00,oven
insinkerator,BXP48046,98117665821,2015-06-29 00:14:51,washer
bosch,SZV73830,08925383809,2012-12-29 10:40:39,range
thermador,PKR53039,80104094685,2015-01-31 22:02:05,hot water dispenser
maytag,VBE33530,46746414490,2012-03-05 17:58:08,microwave
bosch,ZXV22086,61501538798,2012-12-21 14:40:27,oven
thermador,EAH16025,26727153911,2014-03-29 01:09:48,washer
kitchenaid,TXG62707,36254772549,2011-04-24 06:01:39,dishwasher
bosch,FBR93287,81380130706,2012-02-11 20:47:55,faucet
kitchenaid,HTW02059,73758857904,2015-07-18 20:20:03,hood
maytag,TZH48499,46610751272,2011-03-22 18:08:20,hot water dispenser
insinkerator,HNZ01185,95503561023,2014-05-10 05:06:03,hood
thermador,LEX30647,08282431725,2011-08-12 09:43:22,faucet
kitchenaid,SWX08993,20075917823,2014-11-11 03:26:22,hood
bosch,VEG19236,28197565450,2012-02-14 05:28:30,dishwasher
insinkerator,UEK61234,90730766753,2014-10-25 06:29:26,dishwasher
bosch,HTC70546,91025421594,2013-01-10 14:27:13,hood
ge,JML89606,91270212583,2014-01-20 16:49:06,faucet
kenmore,NBY14975,49312777036,2014-10-23 01:38:45,disposal
maytag,NXM32107,82210004044,2012-08-28 05:27:28,disposal
whirlpool,YWT42588,73087025881,2014-04-26 20:56:53,hot water dispenser
ge,JXP05028,55732551543,2011-11-01 18:39:44,faucet
kenmore,UCM52943,48810493285,2013-01-05 16:49:52,oven
kitchenaid,OBQ99687,93745404123,2012-05-01 22:37:15,dishwasher
thermador,QAR38144,86961128176,2015-06-20 16:58:51,washer
kenmore,LIU39744,21826643623,2012-03-24 13:06:32,dishwasher
whirlpool,OXR90577,09659038131,2012-12-04 00:14:44,hot water dispenser
bosch,IMG12741,78092002495,2013-10-25 23:35:51,washer
insinkerator,APJ41965,25814654987,2012-02-02 20:55:44,dryer
insinkerator,TKA88690,83136077835,2012-01-28 10:41:09,disposal
maytag,ZOA65132,41504785726,2015-02-04 12:12:32,washer
ge,YWQ34068,37314946514,2012-02-25 05:41:21,range
kenmore,DEC57430,56119671849,2013-06-11 10:39:11,cooktop
maytag,EGH05657,11957066733,2013-05-26 16:52:29,oven
maytag,ZUJ55427,94622108863,2012-02-07 03:00:04,hood
kitchenaid,QLS56353,64478365705,2012-03-13 04:32:12,dryer
kenmore,XSA41229,52196623857,2013-02-23 08:54:58,microwave
maytag,VQR78180,83253770615,2012-04-17 14:03:41,oven
thermador,XPH42053,10871816978,2015-06-10 03:13:07,dishwasher
